artist_name,track_name,popularity,duration_ms,album,release_date,collaborating_artist,explicit,number_of_markets,available_markets
Yuvan Shankar Raja,Enkeyoo Partha,66,320960,Yaaradi Nee Mohini (Original Motion Picture Soundtrack),2008-10-17,Udit Narayan,False,,
Yuvan Shankar Raja,Thuli Thuli,62,283346,Paiya (Original Motion Picture Soundtrack),2010-11-22,Haricharan,False,,
Yuvan Shankar Raja,Venmegam,65,274853,Yaaradi Nee Mohini (Original Motion Picture Soundtrack),2008-10-17,Hariharan,False,,
Yuvan Shankar Raja,"Ennai Vittu (From ""Love Today"")",63,244669,"Ennai Vittu (From ""Love Today"")",2022-08-12,Sid Sriram,False,,
Yuvan Shankar Raja,Rowdy Baby,64,281440,Maari 2 (Original Motion Picture Soundtrack),2018-12-10,Dhee,False,,
Yuvan Shankar Raja,"En Kadhal Solla (From ""Paiya"")",58,293893,"Voice of Yuvanshankar Raja, Vol. 2",2013-07-10,Tanvi Shah,False,,
Yuvan Shankar Raja,Adada Mazhaida,62,267120,Paiya (Original Motion Picture Soundtrack),2010-11-22,Rahul Nambiar,False,,
Yuvan Shankar Raja,Oru Devathai,58,296760,Vaamanan (Original Motion Picture Soundtrack),2009-04-13,Roop Kumar Rathod,False,,
Yuvan Shankar Raja,"Kanja Poovu Kannala (From ""Viruman"")",62,237558,"Kanja Poovu Kannala (From ""Viruman"")",2022-05-25,Sid Sriram,False,,
Harris Jayaraj,Ava Enna,66,318493,Vaaranam Aayiram (Original Motion Picture Soundtrack),2008-10-08,Karthik,False,,
Harris Jayaraj,Vaarayo Vaarayo,66,316680,Aadhavan (Original Motion Picture Soundtrack),2009-08-09,Unnikrishnan,False,,
Harris Jayaraj,"Makkamishi - From ""Brother""",65,254228,"Makkamishi - From ""Brother""",2024-07-20,Paal Dabba,False,,
Harris Jayaraj,Nenjukkul Peidhidum,65,369333,Vaaranam Aayiram (Original Motion Picture Soundtrack),2008-10-08,Hariharan,False,,
Harris Jayaraj,Mundhinam,65,341386,Vaaranam Aayiram (Original Motion Picture Soundtrack),2008-10-08,Naresh Iyer,False,,
Harris Jayaraj,Annul Maelae,64,322506,Vaaranam Aayiram (Original Motion Picture Soundtrack),2008-10-08,Sudha Ragunathan,False,,
Harris Jayaraj,Ennamo Yeadho,61,333600,KO (Original Motion Picture Soundtrack),2011-01-17,Aalaap Raju,False,,
Harris Jayaraj,Yamma Yamma,62,366506,7 Aum Arivu (Original Motion Picture Soundtrack),2011-09-22,S. P. Balasubrahmanyam,False,,
Harris Jayaraj,Thodu Vaanam,61,315213,Anegan (Original Motion Picture Soundtrack),2014-11-10,Hariharan,False,,
Harris Jayaraj,Anbe En Anbe,61,304400,Dhaam Dhoom (Original Motion Picture Soundtrack),2008-08-29,Harish Raghavendra,False,,
Vijay Antony,Mascara,44,296250,Salim (Original Motion Picture Soundtrack),2014-12-01,Vijay Antony,False,,
Vijay Antony,Ichu Ichu,63,226698,Vedi (Original Motion Picture Soundtrack),2011-09-05,Sangeetha Rajeshwaran,False,,
Vijay Antony,Ussumu Laresey,63,287440,Uthama Puthiran (Original Motion Picture Soundtrack),2010-10-05,Emcee Jazz,False,,
Vijay Antony,Uchimandai,63,252200,Vettaikaaran (Original Motion Picture Soundtrack),2009-09-24,Krishna Iyer,False,,
Vijay Antony,Bombay Ponnu,62,234822,Vedi (Original Motion Picture Soundtrack),2011-09-05,Mamta Sharma,False,,
Vijay Antony,Macha Kanni,62,290053,Naan Avanillai (Original Motion Picture Soundtrack),2007,Jayarajagopalam,False,,
Vijay Antony,Pia.. Pia..,61,254280,Ninaithale Inikkum (Original Motion Picture Soundtrack),2009-07-13,,False,,
Vijay Antony,Naakka Mukka,38,303181,Kadhalil Vizhundhen (Original Motion Picture Soundtrack),2013-05-05,,False,,
Vijay Antony,"Sathikadi (From ""Sukran"")",41,279882,Oru Ponnu Onnu Naan Parthen - Love Songs,2013-06-15,Vijay Antony,False,,
Vijay Antony,Dailamo Dailamo,49,267726,Dishyum,2005-04-14,Sangeetha Rajeshwaran,False,,
G.V. Prakash,Pirai Thedum,68,332711,Mayakkam Enna,2011-08-25,G. V. Prakash,False,,
G.V. Prakash,Pookkal Pookkum,66,396466,Madharasapattinam (Original Motion Picture Soundtrack),2010-04-04,Roop Kumar Rathod,False,,
G.V. Prakash,Imaye Imaye,65,208440,Raja Rani (Original Motion Picture Soundtrack),2013-08-23,Shakthisree Gopalan,False,,
G.V. Prakash,Ayyayo,65,324373,Aadukalam (Original Motion Picture Soundtrack),2010-11-08,S. P. Balasubrahmanyam,False,,
G.V. Prakash,Vaa Vaathi,64,225380,Vaathi,2022-11-10,Shweta Mohan,False,,
G.V. Prakash,Otha Sollaala,64,238986,Aadukalam (Original Motion Picture Soundtrack),2010-11-08,Velmurugan,False,,
G.V. Prakash,Minikki Minikki,26,202285,Thangalaan (Original Motion Picture Soundtrack),2024-08-14,Sinduri Vishal,False,,
G.V. Prakash,Yathe Yathe,64,344360,Aadukalam (Original Motion Picture Soundtrack),2010-11-08,,False,,
G.V. Prakash,Un Mela Aasadhaan,62,271746,Aayirathil Oruvan (Original Motion Picture Soundtrack),2009-06-10,Dhanush,False,,
G.V. Prakash,Neeve,62,281520,Darling (Original Motion Picture Soundtrack),2010-04-13,,False,,
Santhosh Narayanan,"Water Packet (From ""Raayan"")",70,246002,"Water Packet (From ""Raayan"")",2024-05-24,Santhosh Narayanan,False,,
Santhosh Narayanan,"Unakku Thaan - From ""Chithha""",61,216214,"Unakku Thaan (From ""Chithha"")",2023-09-22,Dhvani Kailas,False,,
Santhosh Narayanan,"Maamadura - From ""Jigarthanda DoubleX""",65,168750,"Maamadura (From ""Jigarthanda DoubleX"")",2023-10-09,Dhee,False,,
Santhosh Narayanan,"Ennadi Maayavi Nee (From ""VadaChennai"")",67,251000,VadaChennai (Original Motion Picture Soundtrack),2018-07-28,Vivek,False,,
Santhosh Narayanan,Aval,66,266639,Manithan (Original Motion Picture Soundtrack),2016-04-08,Pradeep,False,,
Santhosh Narayanan,"Thenmozhi (From ""Thiruchitrambalam"")",65,173225,"Thenmozhi (From ""Thiruchitrambalam"")",2022-07-30,Anirudh Ravichander,False,,
Santhosh Narayanan,"Bhairava Anthem (From ""Kalki 2898 Ad"")",48,163354,"Bhairava Anthem (From ""Kalki 2898 Ad"")",2024-06-16,Deepak Blue,False,,
Santhosh Narayanan,Naan Nee,64,253582,Madras (Original Motion Picture Soundtrack),2014-06-23,Shakthisree Gopalan,False,,
Santhosh Narayanan,"Mainaru Vetti Katti (From ""Dasara"")",28,203052,"Mainaru Vetti Katti (From ""Dasara"") - Single",2023-03-10,Dhee,False,,
Santhosh Narayanan,"Theme Of Kalki (From ""Kalki 2898 AD"")",45,189566,"Theme of Kalki (From ""Kalki 2898 Ad"")",2024-06-25,Ananthu,False,,
Anirudh Ravichander,Chaleya,74,200373,Jawan,2023-09-05,Arijit Singh,False,,
Anirudh Ravichander,"Chuttamalle (From ""Devara Part 1"")",77,222063,"Chuttamalle (From ""Devara Part 1"")",2024-08-05,Anirudh Ravichander,False,,
Anirudh Ravichander,Kadharalz,71,234023,Indian 2 (Original Motion Picture Soundtrack),2024-06-01,,False,,
Anirudh Ravichander,"Fear Song (From ""Devara Part 1"") [Telugu]",71,195064,"Fear Song (From ""Devara Part 1"") [Telugu]",2024-05-19,Ramajogayya Sastry,False,,
Anirudh Ravichander,Hukum - Thalaivar Alappara,64,207647,Jailer (Original Motion Picture Soundtrack),2023-07-28,Super Subu,False,,
Anirudh Ravichander,Naa Ready,59,248181,Leo (Original Motion Picture Soundtrack),2023-10-19,Thalapathy Vijay,False,,
Anirudh Ravichander,"Yaanji - From ""Vikram Vedha""",68,270375,"Yaanji (From ""Vikram Vedha"")",2017-06-12,Anirudh Ravichander,False,,
Anirudh Ravichander,Badass,57,229677,Leo (Original Motion Picture Soundtrack),2023-10-19,,False,,
Anirudh Ravichander,"Kannamma - From ""Ispade Rajavum Idhaya Raniyum""",67,256945,"Kannamma (From ""Ispade Rajavum Idhaya Raniyum"")",2019-01-11,Anirudh Ravichander,False,,
Anirudh Ravichander,"Hayyoda (From ""Jawan"")",67,200142,"Hayyoda (From ""Jawan"")",2023-08-14,Priya Mali,False,,
